时间,4#温度[℃]
 2025-08-19 17:09:33.1156,31.03477
 2025-08-19 17:09:33.1157,31.042535
 2025-08-19 17:09:33.1158,31.042535
 2025-08-19 17:09:33.1159,31.042535
 2025-08-19 17:09:33.1160,31.03477
 2025-08-19 17:09:33.1161,31.042536
 2025-08-19 17:09:33.1162,31.050301
 2025-08-19 17:09:33.1163,31.058066
 2025-08-19 17:09:33.1164,31.050301
 2025-08-19 17:09:33.1165,31.050301
 2025-08-19 17:09:33.1166,31.058066
 2025-08-19 17:09:33.1167,31.042536
 2025-08-19 17:09:33.1168,31.050301
 2025-08-19 17:09:33.1169,31.058066
 2025-08-19 17:09:33.1170,31.058066
 2025-08-19 17:09:33.1171,31.081361
 2025-08-19 17:09:33.1172,31.06583
 2025-08-19 17:09:33.1173,31.06583
 2025-08-19 17:09:33.1174,31.058065
 2025-08-19 17:09:33.1175,31.06583
 2025-08-19 17:09:33.1176,31.073596
 2025-08-19 17:09:33.1177,31.073596
 2025-08-19 17:09:33.1178,31.073596
 2025-08-19 17:09:33.1179,31.0503
 2025-08-19 17:09:33.1180,31.0503
 2025-08-19 17:09:33.1181,31.042535
 2025-08-19 17:09:33.1182,31.03477
 2025-08-19 17:09:33.1183,31.03477
 2025-08-19 17:09:33.1184,31.03477
 2025-08-19 17:09:33.1185,31.03477
 2025-08-19 17:09:33.1186,31.042535
 2025-08-19 17:09:33.1187,31.042535
 2025-08-19 17:09:33.1188,31.03477
 2025-08-19 17:09:33.1189,31.027005
 2025-08-19 17:09:33.1190,31.042535
 2025-08-19 17:09:33.1191,31.0503
 2025-08-19 17:09:33.1192,31.0503
 2025-08-19 17:09:33.1193,31.0503
 2025-08-19 17:09:33.1194,31.042535
 2025-08-19 17:09:33.1195,31.0503
 2025-08-19 17:09:33.1196,31.042535
 2025-08-19 17:09:33.1197,31.042535
 2025-08-19 17:09:33.1198,31.042535
 2025-08-19 17:09:33.1199,31.042535
 2025-08-19 17:09:33.1200,31.058065
 2025-08-19 17:09:33.1201,31.058065
 2025-08-19 17:09:33.1202,31.0503
 2025-08-19 17:09:33.1203,31.058065
 2025-08-19 17:09:33.1204,31.058065
 2025-08-19 17:09:33.1205,31.06583
 2025-08-19 17:09:33.1206,31.06583
 2025-08-19 17:09:33.1207,31.06583
 2025-08-19 17:09:33.1208,31.06583
 2025-08-19 17:09:33.1209,31.06583
 2025-08-19 17:09:33.1210,31.058065
 2025-08-19 17:09:33.1211,31.06583
 2025-08-19 17:09:33.1212,31.058065
 2025-08-19 17:09:33.1213,31.06583
 2025-08-19 17:09:33.1214,31.058065
 2025-08-19 17:09:33.1215,31.06583
 2025-08-19 17:09:33.1216,31.06583
 2025-08-19 17:09:33.1217,31.0503
 2025-08-19 17:09:33.1218,31.058065
 2025-08-19 17:09:33.1219,31.0503
 2025-08-19 17:09:33.1220,31.058065
 2025-08-19 17:09:33.1221,31.06583
 2025-08-19 17:09:33.1222,31.058065
 2025-08-19 17:09:33.1223,31.058065
 2025-08-19 17:09:33.1224,31.042535
 2025-08-19 17:09:33.1225,31.042535
 2025-08-19 17:09:33.1226,31.042535
 2025-08-19 17:09:33.1227,31.0503
 2025-08-19 17:09:33.1228,31.058065
 2025-08-19 17:09:33.1229,31.058065
 2025-08-19 17:09:33.1230,31.058065
 2025-08-19 17:09:33.1231,31.0503
 2025-08-19 17:09:33.1232,31.042535
 2025-08-19 17:09:33.1233,31.042535
 2025-08-19 17:09:33.1234,31.058065
 2025-08-19 17:09:33.1235,31.058065
 2025-08-19 17:09:33.1236,31.06583
 2025-08-19 17:09:33.1237,31.058065
 2025-08-19 17:09:33.1238,31.042535
 2025-08-19 17:09:33.1239,31.03477
 2025-08-19 17:09:33.1240,31.027005
 2025-08-19 17:09:33.1241,31.042535
 2025-08-19 17:09:33.1242,31.027005
 2025-08-19 17:09:33.1243,31.03477
 2025-08-19 17:09:33.1244,31.01924
 2025-08-19 17:09:33.1245,31.00371
 2025-08-19 17:09:33.1246,31.011475
 2025-08-19 17:09:33.1247,31.00371
 2025-08-19 17:09:33.1248,31.00371
 2025-08-19 17:09:33.1249,31.01924
 2025-08-19 17:09:33.1250,31.027005
 2025-08-19 17:09:33.1251,31.03477
 2025-08-19 17:09:33.1252,31.01924
 2025-08-19 17:09:33.1253,31.03477
 2025-08-19 17:09:33.1254,31.027005
 2025-08-19 17:09:33.1255,31.042535
 2025-08-19 17:09:33.1256,31.065831
 2025-08-19 17:09:33.1257,31.058066
 2025-08-19 17:09:33.1258,31.065831
 2025-08-19 17:09:33.1259,31.058066
 2025-08-19 17:09:33.1260,31.050301
 2025-08-19 17:09:33.1261,31.050301
 2025-08-19 17:09:33.1262,31.050301
 2025-08-19 17:09:33.1263,31.058066
 2025-08-19 17:09:33.1264,31.050301
 2025-08-19 17:09:33.1265,31.050301
 2025-08-19 17:09:33.1266,31.042536
 2025-08-19 17:09:33.1267,31.027005
 2025-08-19 17:09:33.1268,31.027005
 2025-08-19 17:09:33.1269,31.027005
 2025-08-19 17:09:33.1270,31.027005
 2025-08-19 17:09:33.1271,31.03477
 2025-08-19 17:09:33.1272,31.03477
 2025-08-19 17:09:33.1273,31.03477
 2025-08-19 17:09:33.1274,31.027005
 2025-08-19 17:09:33.1275,31.027005
 2025-08-19 17:09:33.1276,31.027005
 2025-08-19 17:09:33.1277,31.03477
 2025-08-19 17:09:33.1278,31.027005
 2025-08-19 17:09:33.1279,31.027005
 2025-08-19 17:09:33.1280,31.01924
 2025-08-19 17:09:33.1281,31.027005
 2025-08-19 17:09:33.1282,31.027005
 2025-08-19 17:09:33.1283,31.01924
 2025-08-19 17:09:33.1284,31.011475
 2025-08-19 17:09:33.1285,31.011475
 2025-08-19 17:09:33.1286,31.011475
 2025-08-19 17:09:33.1287,31.027005
 2025-08-19 17:09:33.1288,31.027005
 2025-08-19 17:09:33.1289,31.027005
 2025-08-19 17:09:33.1290,31.03477
 2025-08-19 17:09:33.1291,31.042535
 2025-08-19 17:09:33.1292,31.042535
 2025-08-19 17:09:33.1293,31.027005
 2025-08-19 17:09:33.1294,31.042535
 2025-08-19 17:09:33.1295,31.0503
 2025-08-19 17:09:33.1296,31.0503
 2025-08-19 17:09:33.1297,31.058065
 2025-08-19 17:09:33.1298,31.0503
 2025-08-19 17:09:33.1299,31.0503
 2025-08-19 17:09:33.1300,31.058065
 2025-08-19 17:09:33.1301,31.058065
 2025-08-19 17:09:33.1302,31.06583
 2025-08-19 17:09:33.1303,31.06583
 2025-08-19 17:09:33.1304,31.081361
 2025-08-19 17:09:33.1305,31.073596
 2025-08-19 17:09:33.1306,31.081361
 2025-08-19 17:09:33.1307,31.089126
 2025-08-19 17:09:33.1308,31.089126
 2025-08-19 17:09:33.1309,31.096891
 2025-08-19 17:09:33.1310,31.096891
 2025-08-19 17:09:33.1311,31.112421
 2025-08-19 17:09:33.1312,31.112421
 2025-08-19 17:09:33.1313,31.104656
 2025-08-19 17:09:33.1314,31.104656
 2025-08-19 17:09:33.1315,31.089126
 2025-08-19 17:09:33.1316,31.096891
 2025-08-19 17:09:33.1317,31.096891
 2025-08-19 17:09:33.1318,31.096891
 2025-08-19 17:09:33.1319,31.096891
 2025-08-19 17:09:33.1320,31.081361
 2025-08-19 17:09:33.1321,31.081361
 2025-08-19 17:09:33.1322,31.06583
 2025-08-19 17:09:33.1323,31.06583
 2025-08-19 17:09:33.1324,31.058065
 2025-08-19 17:09:33.1325,31.058065
 2025-08-19 17:09:33.1326,31.06583
 2025-08-19 17:09:33.1327,31.0503
 2025-08-19 17:09:33.1328,31.042535
 2025-08-19 17:09:33.1329,31.027005
 2025-08-19 17:09:33.1330,31.01924
 2025-08-19 17:09:33.1331,31.027005
 2025-08-19 17:09:33.1332,31.03477
 2025-08-19 17:09:33.1333,31.03477
 2025-08-19 17:09:33.1334,31.042535
 2025-08-19 17:09:33.1335,31.042535
 2025-08-19 17:09:33.1336,31.0503
 2025-08-19 17:09:33.1337,31.0503
 2025-08-19 17:09:33.1338,31.058065
 2025-08-19 17:09:33.1339,31.058065
 2025-08-19 17:09:33.1340,31.073596
 2025-08-19 17:09:33.1341,31.081361
 2025-08-19 17:09:33.1342,31.081361
 2025-08-19 17:09:33.1343,31.081361
 2025-08-19 17:09:33.1344,31.081361
 2025-08-19 17:09:33.1345,31.073596
 2025-08-19 17:09:33.1346,31.089126
 2025-08-19 17:09:33.1347,31.081361
 2025-08-19 17:09:33.1348,31.081361
 2025-08-19 17:09:33.1349,31.073596
 2025-08-19 17:09:33.1350,31.073596
 2025-08-19 17:09:33.1351,31.073596
 2025-08-19 17:09:33.1352,31.089126
 2025-08-19 17:09:33.1353,31.089126
 2025-08-19 17:09:33.1354,31.081361
 2025-08-19 17:09:33.1355,31.081361
 2025-08-19 17:09:33.1356,31.081361
 2025-08-19 17:09:33.1357,31.073596
 2025-08-19 17:09:33.1358,31.073596
 2025-08-19 17:09:33.1359,31.073596
 2025-08-19 17:09:33.1360,31.081361
 2025-08-19 17:09:33.1361,31.081361
 2025-08-19 17:09:33.1362,31.073596
 2025-08-19 17:09:33.1363,31.058065
 2025-08-19 17:09:33.1364,31.058065
 2025-08-19 17:09:33.1365,31.06583
 2025-08-19 17:09:33.1366,31.096891
 2025-08-19 17:09:33.1367,31.096891
 2025-08-19 17:09:33.1368,31.096891
 2025-08-19 17:09:33.1369,31.096891
 2025-08-19 17:09:33.1370,31.089126
 2025-08-19 17:09:33.1371,31.081361
 2025-08-19 17:09:33.1372,31.089126
 2025-08-19 17:09:33.1373,31.089126
 2025-08-19 17:09:33.1374,31.081361
 2025-08-19 17:09:33.1375,31.089126
 2025-08-19 17:09:33.1376,31.081361
 2025-08-19 17:09:33.1377,31.042535
 2025-08-19 17:09:33.1378,31.042535
 2025-08-19 17:09:33.1379,31.042535
 2025-08-19 17:09:33.1380,31.042535
 2025-08-19 17:09:33.1381,31.0503
 2025-08-19 17:09:33.1382,31.06583
 2025-08-19 17:09:33.1383,31.0503
 2025-08-19 17:09:33.1384,31.058065
 2025-08-19 17:09:33.1385,31.058065
 2025-08-19 17:09:33.1386,31.0503
 2025-08-19 17:09:33.1387,31.0503
 2025-08-19 17:09:33.1388,31.0503
 2025-08-19 17:09:33.1389,31.0503
 2025-08-19 17:09:33.1390,31.03477
 2025-08-19 17:09:33.1391,31.050301
 2025-08-19 17:09:33.1392,31.042536
 2025-08-19 17:09:33.1393,31.034771
 2025-08-19 17:09:33.1394,31.034771
 2025-08-19 17:09:33.1395,31.034771
 2025-08-19 17:09:33.1396,31.042536
 2025-08-19 17:09:33.1397,31.034771
 2025-08-19 17:09:33.1398,31.034771
 2025-08-19 17:09:33.1399,31.034771
 2025-08-19 17:09:33.1400,31.027006
 2025-08-19 17:09:33.1401,31.050301
 2025-08-19 17:09:33.1402,31.03477
 2025-08-19 17:09:33.1403,31.042535
 2025-08-19 17:09:33.1404,31.042535
 2025-08-19 17:09:33.1405,31.0503
 2025-08-19 17:09:33.1406,31.042535
 2025-08-19 17:09:33.1407,31.042535
 2025-08-19 17:09:33.1408,31.058065
 2025-08-19 17:09:33.1409,31.058065
 2025-08-19 17:09:33.1410,31.058065
 2025-08-19 17:09:33.1411,31.06583
 2025-08-19 17:09:33.1412,31.0503
 2025-08-19 17:09:33.1413,31.058065
 2025-08-19 17:09:33.1414,31.0503
 2025-08-19 17:09:33.1415,31.058065
 2025-08-19 17:09:33.1416,31.058065
 2025-08-19 17:09:33.1417,31.06583
 2025-08-19 17:09:33.1418,31.06583
 2025-08-19 17:09:33.1419,31.042535
 2025-08-19 17:09:33.1420,31.042535
 2025-08-19 17:09:33.1421,31.058065
 2025-08-19 17:09:33.1422,31.0503
 2025-08-19 17:09:33.1423,31.06583
 2025-08-19 17:09:33.1424,31.058065
 2025-08-19 17:09:33.1425,31.06583
 2025-08-19 17:09:33.1426,31.058065
 2025-08-19 17:09:33.1427,31.058065
 2025-08-19 17:09:33.1428,31.058065
 2025-08-19 17:09:33.1429,31.06583
 2025-08-19 17:09:33.1430,31.081361
 2025-08-19 17:09:33.1431,31.081361
 2025-08-19 17:09:33.1432,31.06583
 2025-08-19 17:09:33.1433,31.06583
 2025-08-19 17:09:33.1434,31.058065
 2025-08-19 17:09:33.1435,31.0503
 2025-08-19 17:09:33.1436,31.058065
 2025-08-19 17:09:33.1437,31.058065
 2025-08-19 17:09:33.1438,31.058065
 2025-08-19 17:09:33.1439,31.058065
 2025-08-19 17:09:33.1440,31.058065
 2025-08-19 17:09:33.1441,31.058065
 2025-08-19 17:09:33.1442,31.058065
 2025-08-19 17:09:33.1443,31.042535
 2025-08-19 17:09:33.1444,31.045641
 2025-08-19 17:09:33.1445,31.040982
 2025-08-19 17:09:33.1446,31.036323
 2025-08-19 17:09:33.1447,31.039429
 2025-08-19 17:09:33.1448,31.042535
 2025-08-19 17:09:33.1449,31.045641
