Test_Time(s),Temperature (C)_1,Temperature (C)_2
30905.89408406617,-10.482720375061035,-10.6016263961792
30910.901715505828,-10.56065845489502,-10.679804801940918
30915.90920643521,-10.43666648864746,-10.679804801940918
30920.916763192698,-10.43666648864746,-10.679804801940918
30925.92434689736,-10.52877712249756,-10.647916793823242
30930.93191096908,-10.43666648864746,-10.647916793823242
30935.93948120015,-10.482720375061035,-10.679804801940918
30940.947129193068,-10.482720375061035,-10.647916793823242
30945.95463475092,-10.482720375061035,-10.679804801940918
30950.962192278326,-10.404790878295898,-10.679804801940918
30955.96972670815,-10.56065845489502,-10.569743156433104
30960.97734120957,-10.45084285736084,-10.647916793823242
30965.984947241897,-10.482720375061035,-10.679804801940918
30970.992478977005,-10.56065845489502,-10.647916793823242
30976.00007884997,-10.404790878295898,-10.647916793823242
30981.007627138344,-10.404790878295898,-10.6016263961792
30986.01521430764,-10.56065845489502,-10.679804801940918
30991.02276644561,-10.638606071472168,-10.679804801940918
30996.03030203031,-10.514598846435549,-10.679804801940918
31001.03791229719,-10.45084285736084,-10.679804801940918
31006.045490227458,-10.404790878295898,-10.569743156433104
31011.0530435203,-10.43666648864746,-10.679804801940918
31016.06065301725,-10.358739852905272,-10.647916793823242
31021.06825866461,-10.592541694641112,-10.757994651794434
31026.075777311093,-10.43666648864746,-10.679804801940918
31031.08339604708,-10.43666648864746,-10.679804801940918
31036.09087542768,-10.404790878295898,-10.679804801940918
31041.09852034092,-10.43666648864746,-10.6016263961792
31046.10606978417,-10.46854305267334,-10.711692810058594
31051.11367158193,-10.43666648864746,-10.711692810058594
31056.12120716664,-10.43666648864746,-10.679804801940918
31061.12888749616,-10.358739852905272,-10.679804801940918
31066.13638304507,-10.43666648864746,-10.711692810058594
31071.14393710783,-10.404790878295898,-10.679804801940918
31076.15149925476,-10.46854305267334,-10.711692810058594
31081.159066406148,-10.514598846435549,-10.679804801940918
31086.16664703113,-10.43666648864746,-10.74358367919922
31091.17422034188,-10.592541694641112,-10.6016263961792
31096.181802121744,-10.46854305267334,-10.711692810058594
31101.189269568597,-10.500421524047852,-10.711692810058594
31106.196887149697,-10.500421524047852,-10.711692810058594
31111.20447855355,-10.514598846435549,-10.77547550201416
31116.2120318464,-10.312694549560549,-10.679804801940918
31121.219671755163,-10.46854305267334,-10.74358367919922
31126.22736594324,-10.390612602233888,-10.77547550201416
31131.234845708797,-10.46854305267334,-10.711692810058594
31136.242519494008,-10.43666648864746,-10.665397644042969
31141.250087415323,-10.422487258911133,-10.633511543273926
31146.257506742226,-10.422487258911133,-10.633511543273926
31151.265164744087,-10.454362869262695,-10.729175567626951
31156.27273035564,-10.48623752593994,-10.697285652160645
31161.280245152528,-10.298521041870115,-10.839261054992676
31166.28779575066,-10.564180374145508,-10.77547550201416
31171.295436044384,-10.376437187194824,-10.665397644042969
31176.30302513848,-10.422487258911133,-10.587221145629885
31181.310506058915,-10.284342765808104,-10.77547550201416
31186.31805203753,-10.48623752593994,-10.665397644042969
31191.325699260527,-10.596059799194336,-10.839261054992676
31196.33322137165,-10.48623752593994,-10.807369232177734
31201.34079237264,-10.48623752593994,-10.697285652160645
31206.34836914803,-10.596059799194336,-10.682876586914062
31211.35593668438,-10.48623752593994,-10.839261054992676
31216.363524238637,-10.596059799194336,-10.792953491210938
31221.371078686363,-10.51811408996582,-10.839261054992676
31226.378658541427,-10.48623752593994,-10.792953491210938
31231.38622915746,-10.48623752593994,-10.761063575744627
31236.393760507606,-10.36225700378418,-10.792953491210938
31241.40137077448,-10.596059799194336,-10.761063575744627
31246.408947934822,-10.51811408996582,-10.714761734008787
31251.416544728112,-10.627942085266112,-10.87115478515625
31256.424111494547,-10.564180374145508,-10.903050422668455
31261.431751018357,-10.36225700378418,-10.682876586914062
31266.439132234245,-10.48623752593994,-10.746649742126465
31271.44667128359,-10.549992561340332,-10.792953491210938
31276.45437471069,-10.20643424987793,-10.714761734008787
