时间,位移[mm],4#温度[℃]
 2025-08-15 11:22:58.8227,700.072000,29.668109
 2025-08-15 11:22:58.8237,700.072000,29.652579
 2025-08-15 11:22:58.8247,700.072000,29.699169
 2025-08-15 11:22:58.8257,700.076000,29.668109
 2025-08-15 11:22:58.8267,700.076000,29.675874
 2025-08-15 11:22:58.8277,700.076000,29.668109
 2025-08-15 11:22:58.8287,700.076000,29.644814
 2025-08-15 11:22:58.8297,700.076000,29.644814
 2025-08-15 11:22:58.8307,700.076000,29.637049
 2025-08-15 11:22:58.8317,700.076000,29.660344
 2025-08-15 11:22:58.8327,700.076000,29.629284
 2025-08-15 11:22:58.8337,700.076000,29.621519
 2025-08-15 11:22:58.8347,700.076000,29.644814
 2025-08-15 11:22:58.8357,700.080000,29.675874
 2025-08-15 11:22:58.8367,700.080000,29.613753
 2025-08-15 11:22:58.8377,700.080000,29.613754
 2025-08-15 11:22:58.8387,700.080000,29.629284
 2025-08-15 11:22:58.8397,700.080000,29.621519
 2025-08-15 11:22:58.8407,700.080000,29.652579
 2025-08-15 11:22:58.8417,700.080000,29.660344
 2025-08-15 11:22:58.8427,700.080000,29.691404
 2025-08-15 11:22:58.8437,700.080000,29.683639
 2025-08-15 11:22:58.8447,700.080000,29.652579
 2025-08-15 11:22:58.8457,700.084000,29.668109
 2025-08-15 11:22:58.8467,700.084000,29.668109
 2025-08-15 11:22:58.8477,700.084000,29.644814
 2025-08-15 11:22:58.8487,700.084000,29.644814
 2025-08-15 11:22:58.8497,700.084000,29.637049
 2025-08-15 11:22:58.8507,700.084000,29.644814
 2025-08-15 11:22:58.8517,700.084000,29.652579
 2025-08-15 11:22:58.8527,700.084000,29.668109
 2025-08-15 11:22:58.8537,700.084000,29.637049
 2025-08-15 11:22:58.8547,700.084000,29.637049
 2025-08-15 11:22:58.8557,700.088000,29.637049
 2025-08-15 11:22:58.8567,700.088000,29.629284
 2025-08-15 11:22:58.8577,700.088000,29.644814
 2025-08-15 11:22:58.8587,700.088000,29.598224
 2025-08-15 11:22:58.8597,700.088000,29.629284
 2025-08-15 11:22:58.8607,700.088000,29.637049
 2025-08-15 11:22:58.8617,700.088000,29.644814
 2025-08-15 11:22:58.8627,700.088000,29.637049
 2025-08-15 11:22:58.8637,700.088000,29.598224
 2025-08-15 11:22:58.8647,700.088000,29.621519
 2025-08-15 11:22:58.8657,700.093000,29.621519
 2025-08-15 11:22:58.8667,700.093000,29.629284
 2025-08-15 11:22:58.8677,700.093000,29.637048
 2025-08-15 11:22:58.8687,700.093000,29.660344
 2025-08-15 11:22:58.8697,700.093000,29.629284
 2025-08-15 11:22:58.8707,700.093000,29.621519
 2025-08-15 11:22:58.8717,700.093000,29.652579
 2025-08-15 11:22:58.8727,700.093000,29.644814
 2025-08-15 11:22:58.8737,700.093000,29.644814
 2025-08-15 11:22:58.8747,700.093000,29.644814
 2025-08-15 11:22:58.8757,700.097000,29.644814
 2025-08-15 11:22:58.8767,700.097000,29.605988
 2025-08-15 11:22:58.8777,700.097000,29.613754
 2025-08-15 11:22:58.8787,700.097000,29.621519
 2025-08-15 11:22:58.8797,700.097000,29.668109
 2025-08-15 11:22:58.8807,700.097000,29.660344
 2025-08-15 11:22:58.8817,700.097000,29.675874
 2025-08-15 11:22:58.8827,700.097000,29.652579
 2025-08-15 11:22:58.8837,700.097000,29.637049
 2025-08-15 11:22:58.8847,700.097000,29.644814
 2025-08-15 11:22:58.8857,700.101000,29.621518
 2025-08-15 11:22:58.8867,700.101000,29.621519
 2025-08-15 11:22:58.8877,700.101000,29.644814
 2025-08-15 11:22:58.8887,700.101000,29.660344
 2025-08-15 11:22:58.8897,700.101000,29.613753
 2025-08-15 11:22:58.8907,700.101000,29.652578
 2025-08-15 11:22:58.8917,700.101000,29.675874
 2025-08-15 11:22:58.8927,700.101000,29.621519
 2025-08-15 11:22:58.8937,700.101000,29.629284
 2025-08-15 11:22:58.8947,700.101000,29.660344
 2025-08-15 11:22:58.8957,700.105000,29.652579
 2025-08-15 11:22:58.8967,700.105000,29.629284
 2025-08-15 11:22:58.8977,700.105000,29.605989
 2025-08-15 11:22:58.8987,700.105000,29.629284
 2025-08-15 11:22:58.8997,700.105000,29.637049
 2025-08-15 11:22:58.9007,700.105000,29.613754
 2025-08-15 11:22:58.9017,700.105000,29.660344
 2025-08-15 11:22:58.9027,700.105000,29.668109
 2025-08-15 11:22:58.9037,700.105000,29.621519
 2025-08-15 11:22:58.9047,700.105000,29.621519
 2025-08-15 11:22:58.9057,700.109000,29.629284
 2025-08-15 11:22:58.9067,700.109000,29.637049
 2025-08-15 11:22:58.9077,700.109000,29.629284
 2025-08-15 11:22:58.9087,700.109000,29.605989
 2025-08-15 11:22:58.9097,700.109000,29.637049
 2025-08-15 11:22:58.9107,700.109000,29.637049
 2025-08-15 11:22:58.9117,700.109000,29.629284
 2025-08-15 11:22:58.9127,700.109000,29.621518
 2025-08-15 11:22:58.9137,700.109000,29.637048
 2025-08-15 11:22:58.9147,700.109000,29.660344
 2025-08-15 11:22:58.9157,700.113000,29.621519
 2025-08-15 11:22:58.9167,700.113000,29.637049
 2025-08-15 11:22:58.9177,700.113000,29.644814
 2025-08-15 11:22:58.9187,700.113000,29.629284
 2025-08-15 11:22:58.9197,700.113000,29.644814
 2025-08-15 11:22:58.9207,700.113000,29.652579
 2025-08-15 11:22:58.9217,700.113000,29.629284
 2025-08-15 11:22:58.9227,700.113000,29.598224
 2025-08-15 11:22:58.9237,700.113000,29.652578
 2025-08-15 11:22:58.9247,700.113000,29.668109
 2025-08-15 11:22:58.9257,700.117000,29.668109
 2025-08-15 11:22:58.9267,700.117000,29.652579
 2025-08-15 11:22:58.9277,700.117000,29.660344
 2025-08-15 11:22:58.9287,700.117000,29.668109
 2025-08-15 11:22:58.9297,700.117000,29.660344
 2025-08-15 11:22:58.9307,700.117000,29.675874
 2025-08-15 11:22:58.9317,700.117000,29.660344
 2025-08-15 11:22:58.9327,700.117000,29.683639
 2025-08-15 11:22:58.9337,700.117000,29.605987
 2025-08-15 11:22:58.9347,700.117000,29.637049
 2025-08-15 11:22:58.9357,700.122000,29.605988
 2025-08-15 11:22:58.9367,700.122000,29.605989
 2025-08-15 11:22:58.9377,700.122000,29.613754
 2025-08-15 11:22:58.9387,700.122000,29.621519
 2025-08-15 11:22:58.9397,700.122000,29.637049
 2025-08-15 11:22:58.9407,700.122000,29.644814
 2025-08-15 11:22:58.9417,700.122000,29.605989
 2025-08-15 11:22:58.9427,700.122000,29.629284
 2025-08-15 11:22:58.9437,700.122000,29.644814
 2025-08-15 11:22:58.9447,700.122000,29.605989
 2025-08-15 11:22:58.9457,700.126000,29.637049
 2025-08-15 11:22:58.9467,700.126000,29.644814
 2025-08-15 11:22:58.9477,700.126000,29.652579
 2025-08-15 11:22:58.9487,700.126000,29.652579
 2025-08-15 11:22:58.9497,700.126000,29.675874
 2025-08-15 11:22:58.9507,700.126000,29.699169
 2025-08-15 11:22:58.9517,700.126000,29.660344
 2025-08-15 11:22:58.9527,700.126000,29.652579
 2025-08-15 11:22:58.9537,700.126000,29.644814
 2025-08-15 11:22:58.9547,700.126000,29.644814
 2025-08-15 11:22:58.9557,700.130000,29.621519
 2025-08-15 11:22:58.9567,700.130000,29.660344
 2025-08-15 11:22:58.9577,700.130000,29.668109
 2025-08-15 11:22:58.9587,700.130000,29.652579
 2025-08-15 11:22:58.9597,700.130000,29.644814
 2025-08-15 11:22:58.9607,700.130000,29.652579
 2025-08-15 11:22:58.9617,700.130000,29.629284
 2025-08-15 11:22:58.9627,700.130000,29.629283
 2025-08-15 11:22:58.9637,700.130000,29.629283
 2025-08-15 11:22:58.9647,700.130000,29.660344
 2025-08-15 11:22:58.9657,700.134000,29.652579
 2025-08-15 11:22:58.9667,700.134000,29.613754
 2025-08-15 11:22:58.9677,700.134000,29.605988
 2025-08-15 11:22:58.9687,700.134000,29.637049
 2025-08-15 11:22:58.9697,700.134000,29.644814
 2025-08-15 11:22:58.9707,700.134000,29.652579
 2025-08-15 11:22:58.9717,700.134000,29.629284
 2025-08-15 11:22:58.9727,700.134000,29.652579
 2025-08-15 11:22:58.9737,700.134000,29.668109
 2025-08-15 11:22:58.9747,700.134000,29.637048
 2025-08-15 11:22:58.9757,700.138000,29.605988
 2025-08-15 11:22:58.9767,700.138000,29.621519
 2025-08-15 11:22:58.9777,700.138000,29.621519
 2025-08-15 11:22:58.9787,700.138000,29.621519
 2025-08-15 11:22:58.9797,700.138000,29.637049
 2025-08-15 11:22:58.9807,700.138000,29.629283
 2025-08-15 11:22:58.9817,700.138000,29.629284
 2025-08-15 11:22:58.9827,700.138000,29.660344
 2025-08-15 11:22:58.9837,700.138000,29.637049
 2025-08-15 11:22:58.9847,700.138000,29.637049
 2025-08-15 11:22:58.9857,700.142000,29.637049
 2025-08-15 11:22:58.9867,700.142000,29.637049
 2025-08-15 11:22:58.9877,700.142000,29.621519
 2025-08-15 11:22:58.9887,700.142000,29.644814
 2025-08-15 11:22:58.9897,700.142000,29.629284
 2025-08-15 11:22:58.9907,700.142000,29.629284
 2025-08-15 11:22:58.9917,700.142000,29.652579
 2025-08-15 11:22:58.9927,700.142000,29.637048
 2025-08-15 11:22:58.9937,700.142000,29.613753
 2025-08-15 11:22:58.9947,700.142000,29.644814
 2025-08-15 11:22:58.9957,700.147000,29.629284
 2025-08-15 11:22:58.9967,700.147000,29.629284
 2025-08-15 11:22:58.9977,700.147000,29.613754
 2025-08-15 11:22:58.9987,700.147000,29.629284
 2025-08-15 11:22:58.9997,700.147000,29.629284
 2025-08-15 11:22:59.0007,700.147000,29.629284
 2025-08-15 11:22:59.0017,700.147000,29.637049
 2025-08-15 11:22:59.0027,700.147000,29.637049
 2025-08-15 11:22:59.0037,700.147000,29.637049
 2025-08-15 11:22:59.0047,700.147000,29.660344
 2025-08-15 11:22:59.0057,700.151000,29.621518
 2025-08-15 11:22:59.0067,700.151000,29.660344
 2025-08-15 11:22:59.0077,700.151000,29.637049
 2025-08-15 11:22:59.0087,700.151000,29.660344
 2025-08-15 11:22:59.0097,700.151000,29.629284
 2025-08-15 11:22:59.0107,700.151000,29.637049
 2025-08-15 11:22:59.0117,700.151000,29.660344
 2025-08-15 11:22:59.0127,700.151000,29.660344
 2025-08-15 11:22:59.0137,700.151000,29.683639
 2025-08-15 11:22:59.0147,700.151000,29.605989
 2025-08-15 11:22:59.0157,700.155000,29.668109
 2025-08-15 11:22:59.0167,700.155000,29.660344
 2025-08-15 11:22:59.0177,700.155000,29.629283
 2025-08-15 11:22:59.0187,700.155000,29.621519
 2025-08-15 11:22:59.0197,700.155000,29.605989
 2025-08-15 11:22:59.0207,700.155000,29.637049
 2025-08-15 11:22:59.0217,700.155000,29.652579
 2025-08-15 11:22:59.0227,700.155000,29.637048
 2025-08-15 11:22:59.0237,700.155000,29.637049
 2025-08-15 11:22:59.0247,700.155000,29.644814
 2025-08-15 11:22:59.0257,700.159000,29.652579
 2025-08-15 11:22:59.0267,700.159000,29.660344
 2025-08-15 11:22:59.0277,700.159000,29.613754
 2025-08-15 11:22:59.0287,700.159000,29.652579
 2025-08-15 11:22:59.0297,700.159000,29.668109
